 1.4182175 -52.8485603 ERI  O
 1.6644903 -52.8658562 ERI  O
 1.6662565 -50.8659210 ERI  O
 1.9128838 -50.8859215 ERI  O
 1.9158882 -47.5527229 ERI  O
 2.4101965 -47.6004944 ERI  O
 2.4176009 -39.4342155 ERI  O
 3.0791507 -39.5128975 ERI  O
 3.0795548 -39.0962563 ERI  O
 3.5762856 -39.1650963 ERI  O
 3.5799737 -35.5820351 ERI  O
 3.8287008 -35.6192436 ERI  O
 3.8392601 -24.0033779 ERI  O
 2.7432506 -23.8536034 ERI  O
 2.7559481 -01.2210265 ERI  O
 3.3891122 -01.3029516 ERI  O
 3.6890388 -01.3461887 ERI  O
 1.7643999 -23.7562580 FOR  O
 2.7432506 -23.8536034 FOR  O
 3.8392601 -24.0033779 FOR  O
 3.8287008 -35.6192436 FOR  O
 3.5799737 -35.5820351 FOR  O
 3.5762856 -39.1650963 FOR  O
 3.0795548 -39.0962563 FOR  O
 3.0791507 -39.5128975 FOR  O
 2.4176009 -39.4342155 FOR  O
 1.7567152 -39.3726234 FOR  O
 1.7639259 -24.8729095 FOR  O
 6.4248509 +11.9332972 GEM  O
 6.4295945 +17.4328651 GEM  O
 6.3379717 +17.4495068 GEM  O
 6.3416085 +21.4491768 GEM  O
 6.0083437 +21.5098724 GEM  O
 6.0096025 +22.8430862 GEM  O
 6.0147381 +28.0092907 GEM  O
 6.6643772 +27.8913116 GEM  O
 6.6726851 +35.3905640 GEM  O
 7.5040479 +35.2445297 GEM  O
 7.8859806 +35.1810532 GEM  O
 7.8838720 +33.1812286 GEM  O
 8.1328821 +33.1415138 GEM  O
 8.1277313 +27.6419144 GEM  O
 8.0114431 +27.6602821 GEM  O
 8.0046749 +19.6608200 GEM  O
 7.9298363 +19.6728077 GEM  O
 7.9247737 +13.1732168 GEM  O
 7.6168485 +13.2238064 GEM  O
 7.6160669 +12.2238722 GEM  O
 7.1165485 +12.3095980 GEM  O
 7.1145253 +09.8097754 GEM  O
 7.0478973 +09.8214874 GEM  O
 7.0495210 +11.8213453 GEM  O
16.3705730 +03.7033811 HER  O
16.1873112 +03.6735139 HER  O
16.1784420 +15.6728001 HER  O
16.0120716 +15.6463346 HER  O
16.0074005 +21.6459675 HER  O
16.1237717 +21.6644115 HER  O
16.1203823 +25.6641407 HER  O
16.2533455 +25.6855946 HER  O
16.2524471 +26.6855240 HER  O
16.4186535 +26.7128716 HER  O
16.4047966 +39.7117195 HER  O
15.8243618 +39.6189079 HER  O
15.8083057 +51.1176796 HER  O
17.0504551 +51.3242683 HER  O
17.0524235 +50.3244438 HER  O
18.2838459 +50.5470886 HER  O
18.2894917 +47.5476036 HER  O
18.2311249 +47.5369873 HER  O
18.2549591 +30.0391560 HER  O
18.4467182 +30.0739765 HER  O
18.4508591 +26.0743504 HER  O
18.9513245 +26.1640968 HER  O
18.9518108 +25.6641407 HER  O
18.9559422 +21.2478352 HER  O
18.9582424 +18.6647091 HER  O
18.9637508 +12.1651964 HER  O
18.7592030 +12.1287737 HER  O
18.3468723 +12.0543308 HER  O
18.3448849 +14.3874788 HER  O
17.3451252 +14.2060347 HER  O
17.3463898 +12.7061481 HER  O
16.8467655 +12.6179380 HER  O
16.8537273 +03.7852108 HER  O
 8.1899338 -00.3693900 HYA  O
 8.1947594 +06.6302376 HYA  O
 9.3602839 +06.4700689 HYA  O
 9.6932278 +06.4327669 HYA  O
 9.6899271 -00.5670585 HYA  O
 9.6846848 -11.5667810 HYA  O
10.8538609 -11.6621428 HYA  O
10.8517027 -19.6620827 HYA  O
10.9353724 -19.6666222 HYA  O
10.9338722 -25.1665821 HYA  O
11.9394207 -25.1957951 HYA  O
12.6936350 -25.1864014 HYA  O
12.6932335 -22.6864090 HYA  O
12.9444580 -22.6773415 HYA  O
14.3675394 -22.5727749 HYA  O
14.3689127 -25.0727024 HYA  O
15.0384369 -24.9951096 HYA  O
15.0420513 -29.9948788 HYA  O
12.6944933 -30.1863899 HYA  O
12.6951466 -33.6863785 HYA  O
12.3591623 -33.6938934 HYA  O
12.3593531 -35.6938896 HYA  O
11.0986242 -35.6746559 HYA  O
10.9305677 -35.6664963 HYA  O
10.9318590 -31.8332005 HYA  O
10.6800919 -31.8185863 HYA  O
10.6808596 -29.8186131 HYA  O
10.3454218 -29.7947845 HYA  O
10.3466225 -27.1281624 HYA  O
 9.8439522 -27.0835037 HYA  O
 9.8453121 -24.5835705 HYA  O
 9.4602890 -24.5425186 HYA  O
 9.1757851 -24.5086308 HYA  O
 9.1789980 -19.5088310 HYA  O
 8.6775675 -19.4423733 HYA  O
 8.6789560 -17.4424706 HYA  O
 8.4618063 -17.4112568 HYA  O
 8.4659853 -11.4115648 HYA  O
 8.1822786 -11.3687992 HYA  O
10.8566475 -00.6622211 LEO  O
10.8584013 +06.3377299 LEO  O
 9.6932278 +06.4327669 LEO  O
 9.3602839 +06.4700689 LEO  O
