5	24	28.6	-	2	23	49	3.36
6	45	17.4	+	12	53	44	3.36
19	25	29.9	+	3	6	53	3.36
13	34	41.6	-	0	35	45	3.37
8	46	46.6	+	6	25	8	3.38
12	55	36.2	+	3	23	51	3.38
4	28	39.7	+	15	52	15	3.4
22	41	27.7	+	10	49	53	3.4
1	53	4.9	+	29	34	44	3.41
17	46	27.5	+	27	43	14	3.42
10	16	41.4	+	23	25	2	3.44
19	6	14.9	-	4	52	57	3.44
1	8	35.4	-	10	10	56	3.45
18	50	4.8	+	33	21	46	3.45
2	43	18	+	3	14	9	3.47
4	0	40.8	+	12	29	25	3.47
7	1	43.1	-	27	56	5	3.47
15	15	30.2	+	33	18	53	3.47
19	58	45.4	+	19	29	32	3.47
11	18	28.7	+	33	5	39	3.48
17	14	38.9	+	14	23	25	3.48
22	50	0.2	+	24	36	6	3.48
1	44	4.1	-	15	56	15	3.5
18	57	43.8	-	21	6	24	3.51
8	16	30.9	+	9	11	8	3.52
9	41	9	+	9	53	32	3.52
10	7	20	+	16	45	46	3.52
4	28	37	+	19	10	49	3.53
7	20	7.4	+	21	58	56	3.53
15	49	37.2	-	3	25	49	3.53
22	10	12	+	6	11	52	3.53
3	43	14.9	-	9	45	48	3.54
5	35	8.3	+	9	56	3	3.54
11	33	0.1	-	31	51	28	3.54
17	37	35.2	-	15	23	55	3.54
5	46	57.3	-	14	49	19	3.55
0	19	25.7	-	8	49	26	3.56
4	17	53.7	-	33	47	54	3.56
11	19	20.5	-	14	46	43	3.56
7	44	26.8	+	24	23	53	3.57
20	18	3.3	-	12	32	41	3.57
7	18	5.6	+	16	32	25	3.58
14	31	49.8	+	30	22	17	3.58
15	37	1.5	-	28	8	6	3.58
1	24	1.4	-	8	11	0	3.6
3	24	48.8	+	9	1	44	3.6
5	17	36.4	-	6	50	40	3.6
5	44	27.8	-	22	26	54	3.6
6	52	47.3	+	33	57	40	3.6
10	10	35.3	-	12	21	15	3.61
11	50	41.7	+	1	45	53	3.61
1	31	29	+	15	20	45	3.62
2	49	59	+	27	15	38	3.63
3	49	9.7	+	24	3	12	3.63
20	37	33	+	14	35	43	3.63
4	19	47.6	+	15	37	39	3.65
12	41	39.6	-	1	26	58	3.65
15	38	39.4	-	29	46	40	3.66
23	9	26.8	-	21	10	21	3.66
15	46	11.3	+	15	25	19	3.67
8	43	35.5	-	33	11	11	3.68
12	41	39.6	-	1	26	58	3.68
15	27	49.7	+	29	6	21	3.68
21	40	5.5	-	16	39	44	3.68
3	19	31	-	21	45	28	3.69
4	51	12.4	+	5	36	18	3.69
23	17	9.9	+	3	16	56	3.69
3	44	52.5	+	24	6	48	3.7
17	57	45.9	+	29	14	52	3.7
5	56	24.3	-	14	10	4	3.71
15	50	49	+	4	28	40	3.71
19	55	18.8	+	6	24	24	3.71
4	54	15.1	+	2	26	26	3.72
14	46	14.9	+	1	53	34	3.72
1	51	27.6	-	10	20	6	3.73
3	32	55.8	-	9	27	30	3.73
18	7	21	+	9	33	50	3.73
3	27	10.2	+	9	43	58	3.74
21	26	40	-	22	24	41	3.74
22	52	36.9	-	7	34	47	3.74
16	21	55.2	+	19	9	11	3.75
17	47	53.6	+	2	42	26	3.75
4	22	56.1	+	17	32	33	3.76
22	7	0.7	+	25	20	42	3.76
19	4	41	-	21	44	30	3.77
20	39	38.3	+	15	54	43	3.77
20	47	40.6	-	9	29	45	3.77
7	4	6.5	+	20	34	13	3.79
7	25	43.6	+	27	47	53	3.79
10	19	58.6	+	19	50	26	3.8
15	34	48.1	+	10	32	15	3.8
15	34	48.1	+	10	32	21	3.8
5	38	44.8	-	2	36	0	3.81
5	51	19.3	-	20	52	45	3.81
10	26	5.4	-	16	50	11	3.81
4	35	33	-	30	33	44	3.82
16	30	54.8	+	1	59	2	3.82
19	47	23.3	+	18	32	3	3.82
3	44	19.1	+	32	17	18	3.83
10	53	18.7	+	34	12	54	3.83
18	7	32.6	+	28	45	45	3.83
4	28	34.5	+	15	57	44	3.84
15	42	44.6	+	26	17	44	3.84
18	23	41.9	+	21	46	11	3.84
22	21	39.4	-	1	23	14	3.84
6	22	6.8	-	33	26	11	3.85
7	14	48.7	-	26	46	22	3.85
10	32	48.7	+	9	18	24	3.85
15	56	27.2	+	15	39	42	3.85
18	35	12.4	-	8	14	39	3.85
18	13	45.8	-	21	3	32	3.86
3	12	4.3	-	28	59	13	3.87
3	45	49.6	+	24	22	4	3.87
4	38	10.8	-	14	18	14	3.87
6	54	7.9	-	24	11	2	3.87
9	14	21.9	+	2	18	51	3.88
9	52	45.8	+	26	0	25	3.88
14	43	3.6	-	5	39	30	3.88
15	56	53.1	-	29	12	51	3.88
